Run Number:,0,Parameters:,200000 b,Executable:,sort,Results File:,Source/sorts/200000 b_results.txt,Baseline CPU Temp:,60,Avg Room Temp:,24.433333333333334
Script Delta:,428.87191343307495,Script Start:,1634429685.6793332,Script End:,1634430114.5512466
 
time,cpu,load,dht
1634429683.4107568,53.069,0.0,24.4
1634429689.4168973,55.017,0.0,24.4
1634429695.4191458,56.478,0.15,24.5
1634429701.4251962,57.939,0.22,0.0
1634429707.4291446,57.939,0.28,0.0
1634429713.435199,58.426,0.34,0.0
1634429719.4391427,58.426,0.39,0.0
1634429725.4451904,59.4,0.49,0.0
1634429731.4491374,59.4,0.53,0.0
1634429737.455194,59.4,0.57,0.0
1634429743.4591444,59.4,0.6,0.0
1634429749.4651937,60.374,0.63,0.0
1634429755.4691439,59.887,0.69,0.0
1634429761.475193,59.4,0.72,0.0
1634429767.4791396,0.0
1634429773.4851866,0.0
1634429779.4891396,0.0
1634429785.4952052,0.0
1634429791.4991395,0.0
1634429797.5051863,60.861,0.84,0.0
1634429803.5091429,60.374,0.86,0.0
1634429809.5151901,61.835,0.87,0.0
1634429815.5191581,60.374,0.89,0.0
1634429821.5252025,60.374,0.9,0.0
1634429827.5291414,61.348,0.91,0.0
1634429833.5351892,61.348,0.91,0.0
1634429839.539135,61.835,0.92,0.0
1634429845.5451782,61.835,0.93,0.0
1634429851.5491405,61.348,0.94,0.0
1634429857.5551813,61.835,0.94,0.0
1634429863.5591362,61.835,0.95,0.0
1634429869.56518,61.348,0.95,0.0
1634429875.5691316,62.322,0.96,0.0
1634429881.5751698,61.835,0.96,0.0
1634429887.5791302,61.835,0.97,0.0
1634429893.585171,61.835,0.97,0.0
1634429899.589127,61.348,0.97,0.0
1634429905.5951662,62.322,0.98,0.0
1634429911.599127,62.322,0.98,0.0
1634429917.605165,62.322,0.98,0.0
1634429923.6091492,62.322,0.98,0.0
1634429929.615187,62.322,0.98,0.0
1634429935.619125,62.322,0.99,0.0
1634429941.6251614,61.835,0.99,0.0
1634429947.629126,61.348,0.99,0.0
1634429953.635162,62.322,0.99,0.0
1634429959.6391244,63.296,0.99,0.0
1634429965.6451726,62.809,0.99,0.0
1634429971.649127,63.296,0.99,0.0
1634429977.655164,63.296,1.0,0.0
1634429983.6591275,63.296,1.0,0.0
1634429989.6651752,62.809,1.0,0.0
1634429995.6691308,63.296,1.0,0.0
1634430001.6751642,63.296,1.0,0.0
1634430007.679126,62.809,1.0,0.0
1634430013.6851585,62.322,1.0,0.0
1634430019.689121,62.809,1.0,0.0
1634430025.6951554,62.809,1.0,0.0
1634430031.6991224,63.296,1.0,0.0
1634430037.7051654,63.783,1.0,0.0
1634430043.7091253,62.809,1.0,0.0
1634430049.715155,63.783,1.0,0.0
1634430055.719121,63.296,1.0,0.0
1634430061.7251496,62.809,1.0,0.0
1634430067.729141,63.783,1.0,0.0
1634430073.7351737,63.783,1.0,0.0
1634430079.7391243,64.27,1.0,0.0
1634430085.7451558,63.783,1.0,0.0
1634430091.7491224,64.27,1.0,0.0
1634430097.7551534,63.296,1.0,0.0
1634430103.7591238,64.27,1.0,0.0
1634430109.7651515,63.296,1.0,0.0
1634430115.7712967,62.809,0.92,0.0
 
